article_title_eng,article_eng,article_title_kor,article_kor
Article 43-4 (Fees to Entrusted Institutions),"Necessary matters concerning the method of vesting the proceeds from developing the entrusted property in a local government, the fees to be paid to entrusted institutions, etc. pursuant to Article 43-2 shall be prescribed by Presidential Decree.[This Article Newly Inserted on Dec. 26, 2008]",제43조의4(수탁기관의 보수 등),"제43조의2에 따라 위탁받은 재산의 개발로 발생한 수익의 지방자치단체 귀속방법과 수탁기관의 보수, 그 밖에 필요한 사항은 대통령령으로 정한다.[본조신설 2008. 12. 26.]"
CHAPTER IV-2 SPECIAL CASES CONCERNING MANAGEMENT AND DISPOSAL OF INTELLECTUAL PROPERTY,,제4장의2 지식재산 관리ㆍ처분의 특례,
Article 43-5 (Permission to Use or Profit from Intellectual Property),"(1) A person who has obtained permission to use, profit from, or borrow intellectual property (hereinafter referred to as ""permission for use, etc."") may allow any third person to use or profit from such intellectual property after obtaining approval therefor from the head of the relevant local government, notwithstanding the main sentence of Article 20 (3) and Article 35 (1).(2) A person who has obtained permission for use, etc. of copyright, etc., may transform, change, or adapt the relevant work after obtaining approval therefor from the head of the local government that manages the relevant intellectual property.[This Article Newly Inserted on Jan. 20, 2015]",제43조의5(지식재산의 사용ㆍ수익허가 등),"① 지식재산의 사용ㆍ수익허가 또는 대부(이하 “사용허가등”이라 한다)를 받은 자는 제20조제3항 본문 및 제35조제1항에도 불구하고 해당 지방자치단체의 장의 승인을 받아 그 지식재산을 다른 사람에게 사용ㆍ수익하게 할 수 있다.② 저작권등에 대하여 사용허가등을 받은 자는 해당 지식재산을 관리하는 지방자치단체의 장의 승인을 받아 그 저작물의 변형, 변경 또는 개작을 할 수 있다.[본조신설 2015. 1. 20.]"
Article 43-6 (Methods of Granting Permission for Use of Intellectual Property),"(1) Where the head of a local government intends to grant permission for use, etc. of intellectual property, notwithstanding the main sentence of Article 20 (2) and the main sentence of Article 29 (1), he or she shall do so by a private contract, and may grant permission to several persons at a time or on several occasions.(2) No person who obtains permission for use, etc. pursuant to paragraph (1) shall interfere with the use of the relevant intellectual property by any third person.(3) The head of a local government may revoke permission for use, etc., granted to a person who interferes with the use of the relevant intellectual property by any third person in violation of paragraph (2).(4) Where no person, other than the relevant applicant, intends to obtain permission for use, etc., during the period of permission for use, etc., provided for in Article 43-9 (1); or where it is deemed particularly necessary to efficiently manage intellectual property as prescribed by Presidential Decree, notwithstanding paragraph (1), the head of a local government may grant permission for use, etc., only to a specific person. In such cases, the main sentence of Article 20 (2) and the main sentence of Article 29 (1) shall apply to the methods of granting permission for use, etc.[This Article Newly Inserted on Jan. 20, 2015]",제43조의6(지식재산의 사용허가등의 방법),"① 지방자치단체의 장은 지식재산의 사용허가등을 하려는 경우에는 제20조제2항 본문 및 제29조제1항 본문에도 불구하고 수의의 방법으로 하되, 다수에게 일시에 또는 수회에 걸쳐 할 수 있다.② 제1항에 따라 사용허가등을 받은 자는 다른 사람의 이용을 방해하여서는 아니 된다.③ 지방자치단체의 장은 제2항을 위반하여 다른 사람의 이용을 방해한 자에 대하여 사용허가등을 철회할 수 있다.④ 지방자치단체의 장은 제1항에도 불구하고 제43조의9제1항에 따른 사용허가등의 기간 동안 신청자 외에 사용허가등을 받으려는 자가 없거나 지식재산의 효율적인 관리를 위하여 대통령령으로 정하는 바에 따라 특히 필요하다고 인정하는 경우에는 특정인에 대하여만 사용허가등을 할 수 있다. 이 경우 사용허가등의 방법은 제20조제2항 본문 및 제29조제1항 본문에 따른다.[본조신설 2015. 1. 20.]"
Article 43-7 (Usage Fees of Intellectual Property),"(1) Where permission for use, etc. of intellectual property is granted, notwithstanding Articles 22 (1) and 32 (1), usage fees or rental fees shall be collected in an amount prescribed by Presidential Decree taking into account revenue from the relevant intellectual property, etc.(2) Articles 23 and 33 (1) shall not apply where a person (his or her heir or other general successors shall be deemed the same person as his or her predecessor) continuously uses or profits from the same intellectual property.[This Article Newly Inserted on Jan. 20, 2015]",제43조의7(지식재산의 사용료 등),① 지식재산의 사용허가등을 한 때에는 제22조제1항 및 제32조제1항에도 불구하고 해당 지식재산으로부터의 매출액 등을 고려하여 대통령령으로 정하는 사용료 또는 대부료를 징수한다.② 동일인(상속인이나 그 밖의 포괄승계인은 피승계인과 동일인으로 본다)이 같은 지식재산을 계속 사용ㆍ수익하는 경우에는 제23조 및 제33조제1항은 적용하지 아니한다.[본조신설 2015. 1. 20.]
Article 43-8 (Exemption from or Reduction of Usage Fees or Rental Fees of Intellectual Property),"Except as provided in Articles 24 (1) and 34 (1), usage fees or rental fees may exempted or reduced, as prescribed by Presidential Decree, in any of the following cases: <Amended on Jun. 22, 2015; Oct. 16, 2018>1. Where policies are implemented for increasing income of farmers defined in subparagraph 2 of Article 3 of the Framework Act on Agriculture, Rural Community and Food Industry and of fishers defined in subparagraph 3 of Article 3 of the Framework Act on Fisheries and Fishing Villages Development; for expanding exports by small and medium businesses defined in Article 2 of the Framework Act on Small and Medium Enterprises; for supporting business starters and business re-starters defined in subparagraphs 2 and 2-2 of Article 2 of the Support for Small and Medium Enterprise Establishment Act; or for facilitating establishment of venture businesses defined in Article 2 (1) of the Act on Special Measures for the Promotion of Venture Businesses, and where other policies equivalent thereto are implemented: Exemption;2. In other cases where it is deemed necessary to utilize intellectual property for public purposes: Reduction.[This Article Newly Inserted on Jan. 20, 2015]",제43조의8(지식재산 사용료 또는 대부료의 감면),"제24조제1항 및 제34조제1항에서 정한 사항 외에 다음 각 호의 어느 하나에 해당하는 경우에는 대통령령으로 정하는 바에 따라 그 사용료 또는 대부료를 감면할 수 있다. <개정 2015. 6. 22., 2018. 10. 16.>1. 「농업ㆍ농촌 및 식품산업 기본법」 제3조제2호에 따른 농업인과 「수산업ㆍ어촌 발전 기본법」 제3조제3호에 따른 어업인의 소득 증대, 「중소기업기본법」 제2조에 따른 중소기업의 수출 증진, 「중소기업창업 지원법」 제2조제2호 및 제2호의2에 따른 창업자ㆍ재창업자에 대한 지원 및 「벤처기업육성에 관한 특별조치법」 제2조제1항에 따른 벤처기업의 창업 촉진, 그 밖에 이에 준하는 시책을 추진하는 경우: 면제2. 그 밖에 지식재산을 공익적 목적으로 활용하기 위하여 필요하다고 인정하는 경우: 감면[본조신설 2015. 1. 20.]"
Article 43-9 (Period of Permission for Use of Intellectual Property),"(1) Notwithstanding Article 21 or 31, the period of permission to use or borrow intellectual property shall be prescribed by Presidential Decree within a period of five years.(2) Where the period of permission to use or borrow intellectual property (excluding intellectual property prescribed by Presidential Decree) referred to in paragraph (1) expires, the period of permission for use, etc. previously granted may be renewed by a period not exceeding the period of permission to use or borrow prescribed in paragraph (1): Provided, That the permission for use, etc., granted under Article 43-6 (4) may be renewed only on one occasion.[This Article Newly Inserted on Jan. 20, 2015]",제43조의9(지식재산의 사용허가등 기간),"① 제21조 또는 제31조에도 불구하고 지식재산의 사용허가기간 또는 대부기간은 5년 이내에서 대통령령으로 정한다.② 제1항에 따른 사용허가기간 또는 대부기간이 끝난 지식재산(대통령령으로 정하는 지식재산의 경우는 제외한다)에 대하여는 제1항의 사용허가기간 또는 대부기간을 초과하지 아니하는 범위에서 종전의 사용허가등을 갱신할 수 있다. 다만, 제43조의6제4항에 따른 사용허가등의 경우에는 이를 한 번만 갱신할 수 있다.[본조신설 2015. 1. 20.]"
Article 43-10 (Vesting of Copyright),"(1) Where the head of a local government concludes a contract for producing a work with a person, other than the relevant local government, he or she shall prescribe matters regarding the vesting of copyright on the work in the contract.(2) Where the head of a local government concludes a contract for collaborative creation with a person, other than the relevant local government, notwithstanding Article 8, the copyright on the end product shall be jointly owned; the shares therein shall be equally divided, except as otherwise provided for: Provided, That the principal agent in whom the copyright is vested, the share ratio, etc., may be otherwise determined taking into consideration the level of contribution to the end product and the characteristics of the subject matter of the contract, such as national security, national defense and diplomatic relations.(3) Where the head of a local government concludes a contract under paragraphs (1) and (2), he or she shall conclude no contract to the effect that the copyright on the end product is fully vested in a person, other than the relevant local government.[This Article Newly Inserted on Jan. 20, 2015]",제43조의10(저작권의 귀속 등),"① 지방자치단체의 장은 해당 지방자치단체 외의 자와 저작물 제작을 위한 계약을 체결하는 경우 그 결과물에 대한 저작권 귀속에 관한 사항을 계약내용에 포함하여야 한다.② 지방자치단체의 장이 해당 지방자치단체 외의 자와 공동으로 창작하기 위한 계약을 체결하는 경우 그 결과물에 대한 저작권은 제8조에도 불구하고 공동으로 소유하며, 별도의 정함이 없으면 그 지분은 균등한 것으로 한다. 다만, 그 결과물에 대한 기여도 및 국가안전보장, 국방, 외교관계 등 계약목적물의 특수성을 고려하여 협의를 통하여 저작권의 귀속주체 또는 지분율 등을 달리 정할 수 있다.③ 지방자치단체의 장은 제1항 및 제2항에 따른 계약을 체결하는 경우 그 결과물에 대한 저작권의 전부를 해당 지방자치단체 외의 자에게 귀속시키는 내용의 계약을 체결하여서는 아니 된다.[본조신설 2015. 1. 20.]"
CHAPTER V PUBLIC PROPERTY REGISTER AND REPORTING,,제5장 공유재산 대장과 보고,
Article 44 (Register and Inspections),"(1) The head of a local government and the head of each government agency shall take necessary measures for preserving its right to the public property under its jurisdiction, such as the record and registration thereof, according to the classifications and types of the relevant public property prescribed in Article 5; and prepare the register of the public property by attaching relevant drawings and other evidential documents thereto. In such cases, electronic data may substitute for the public property register.(2) A property manager shall inspect the actual status of the public property under his or her jurisdiction each year; prepare and retain the records on matters regarding the management of and changes to such property; and report the results thereof to the head of the relevant local government.(3) Where it is deemed necessary to efficiently manage public property, the head of a local government may request a specialized institution to inspect the actual management status of public property, determining the scope of public property subject to inspection, the period of inspection, the matters to be inspected, the cost of inspection, etc.(4) Matters necessary for the scope, methods, etc. of the inspection of the actual status of public property referred to in paragraph (2) shall be prescribed by Presidential Decree. <Newly Inserted on Feb. 4, 2010>[This Article Wholly Amended on Dec. 26, 2008]",제44조(대장과 실태조사),"① 지방자치단체의 장과 각 관서의 장은 제5조에 따른 구분과 종류에 따라 소관 공유재산의 등기ㆍ등록이나 그 밖에 권리 보전에 필요한 조치를 하고, 공유재산의 대장(臺帳)에 도면 및 이에 관련되는 증명서류를 첨부하여 갖추어 놓아야 한다. 이 경우 공유재산의 대장은 전산자료로 대신할 수 있다.② 재산관리관은 매년 소관 공유재산의 실태를 조사하여 재산관리 및 변동에 관한 사항을 기록ㆍ유지하여야 하고, 지방자치단체의 장에게 그 결과를 보고하여야 한다.③ 지방자치단체의 장은 공유재산을 효율적으로 관리하기 위하여 필요하면 조사대상 재산의 범위, 조사기간, 조사내용 및 조사비용 등을 정하여 전문기관에 의뢰하여 공유재산의 관리실태를 조사하게 할 수 있다.④ 제2항에 따른 공유재산의 실태조사 범위 및 방법 등에 필요한 사항은 대통령령으로 정한다. <신설 2010. 2. 4.>[전문개정 2008. 12. 26.]"
Article 45 (Perusal of Property-Related Official Books),"Where it is necessary to manage public property (including disposition on delinquency), any public official in charge of duties regarding public property or any person entrusted with duties of managing or disposing of general property pursuant to Article 43-2 may request the head of the registry office or the head of any other relevant administrative agency to allow the perusal or reproduction of any necessary documents, or to issue a certified copy or extract, or a certificate of registered matters, of such documents, without any charge. <Amended on Feb. 4, 2010; Apr. 12, 2011>[This Article Wholly Amended on Dec. 26, 2008]",제45조(재산 관계 공부의 열람 등),"공유재산의 사무를 취급하는 공무원 또는 제43조의2에 따라 일반재산의 관리ㆍ처분에 관한 사무를 위탁받은 자는 공유재산을 관리(체납처분을 포함한다)하기 위하여 필요한 경우에는 등기소나 그 밖의 관계 행정기관의 장에게 무료로 필요한 서류의 열람ㆍ복사를 요구하거나 그 등본, 초본 또는 등기사항증명서의 발급을 청구할 수 있다. <개정 2010. 2. 4., 2011. 4. 12.>[전문개정 2008. 12. 26.]"
Article 46 (Price Assessment),"Any accounting treatment of public property, including assessment of the price of public property, shall be in conformity with the accounting standards prescribed in Article 12 of the Local Accounting Act. <Amended on May 29, 2016>[This Article Wholly Amended on Feb. 4, 2010]",제46조(가격 평가 등),공유재산의 가격 평가 등 회계처리는 「지방회계법」 제12조에 따른 회계기준으로 정하는 바에 따른다. <개정 2016. 5. 29.>[전문개정 2010. 2. 4.]
Article 47 (Preparation of Reports on Actual Status of Public Property),"(1) The head of a local government shall prepare a report on the increase or decrease of the public property under its jurisdiction between the immediately preceding fiscal year and the relevant fiscal year, and a report on the current value of such public property based on the revised prices as of December 31 of each year, as prescribed by Presidential Decree; and submit them to the relevant local council.(2) Where the head of a local government prepares a report on the increase or decrease of public property pursuant to paragraph (1), he or she shall examine and analyze the increase or decrease from the immediately preceding year organized by causes therefor and by relevant detail.[This Article Wholly Amended on Dec. 26, 2008]",제47조(공유재산의 현황 작성 등),① 지방자치단체의 장은 대통령령으로 정하는 바에 따라 그 공유재산에 대하여 전년도 및 해당 회계연도 간 증감보고서와 매년 12월 31일 현재를 기준으로 개정된 가격에 의한 현재액보고서를 작성하여 해당 지방의회에 보고하여야 한다.② 지방자치단체의 장은 제1항에 따라 공유재산의 증감 및 현황을 작성하면 증감의 원인별ㆍ명세별로 전년도와 비교하여 심사ㆍ분석하여야 한다.[전문개정 2008. 12. 26.]
CHAPTER VI COMMON PROVISIONS ON COMMODITIES,,제6장 물품 통칙,
"Article 48 Deleted. <Feb. 4, 2010>",,제48조 삭제 <2010. 2. 4.>,
Article 49 (Classification of Commodities),"(1) When using or disposing of commodities under his or her jurisdiction, the head of a local government shall classify the commodities by function, nature, agency, and item, according to the purpose of the use or disposal thereof so as to promote the appropriateness of its use or disposal.(2) The classification prescribed in paragraph (1) shall not be contrary to the purpose of commodity-related expenses stated in the budget of the relevant local government: Provided, That where it is impracticable to classify the commodities according to the purpose stated in the budget for any special reason, they may be classified otherwise.(3) The criteria for the classification of commodities and other matters necessary for classifying commodities under paragraphs (1) and (2) shall be prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제49조(물품의 분류),"① 지방자치단체의 장은 소관 물품을 사용 및 처분할 때 그 적정성을 도모하기 위하여 물품을 그 사용과 처분의 목적에 따라 기능별ㆍ성질별ㆍ기관별ㆍ품목별로 분류하여야 한다.② 제1항의 분류는 지방자치단체의 예산에서 정한 물품 관계 경비의 목적에 위배되지 아니하여야 한다. 다만, 특별한 사유로 예산에서 정한 목적에 따라 분류하기 곤란한 경우에는 따로 분류할 수 있다.③ 제1항과 제2항에 따른 물품 분류의 기준과 그 밖에 물품 분류에 필요한 사항은 대통령령으로 정한다.[전문개정 2008. 12. 26.]"
Article 50 (Prohibition of Investment),"The head of a local government shall not use commodities for investment purposes or establish a private right on them, except in accordance with statutes or municipal ordinances.[This Article Wholly Amended on Dec. 26, 2008]",제50조(출자 등의 금지),지방자치단체의 장은 법률 또는 조례에 따르지 아니하고는 물품을 출자의 목적으로 하거나 이에 사권을 설정할 수 없다.[전문개정 2008. 12. 26.]
Article 51 (Standardization),"The head of a local government shall standardize the commodities used by its organs as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제51조(표준화),지방자치단체의 장은 그 기관에서 사용되는 물품을 대통령령으로 정하는 바에 따라 표준화하여야 한다.[전문개정 2008. 12. 26.]
Article 52 (Commodity Management Officers),"(1) The head of a local government may delegate the duties related to managing the commodities under his or her jurisdiction to a public official under his or her jurisdiction.(2) A public official delegated with the duties under paragraph (1) shall be referred to as a ""commodity management officer.""[This Article Wholly Amended on Dec. 26, 2008]",제52조(물품관리관),① 지방자치단체의 장은 소관 물품의 관리에 관한 사무를 소속 공무원에게 위임하여 물품을 관리하게 할 수 있다.② 제1항에 따라 위임받은 공무원을 “물품관리관”이라 한다.[전문개정 2008. 12. 26.]
Article 53 (Commodity Accounting Officials),"(1) A commodity management officer (including public officials who take partial charge of commodity management duties pursuant to Article 55 (1); hereinafter the same shall apply) may delegate duties related to the acquisition, disbursement and custody of commodities (excluding duties related to orders of acquisition or disbursement) that he or she manages to a public official of the government office to which he or she belongs, as prescribed by Presidential Decree.(2) A public official delegated with duties of the acquisition, disbursement and custody of commodities under paragraph (1) shall be referred to as a “commodity accounting official.”[This Article Wholly Amended on Dec. 26, 2008]",제53조(물품출납공무원),① 물품관리관(제55조제1항에 따라 물품관리사무의 일부를 분장하는 공무원을 포함한다. 이하 같다)은 대통령령으로 정하는 바에 따라 그가 소속한 관서의 공무원에게 그 관리하는 물품의 출납 및 보관에 관한 사무(출납명령에 관한 사무는 제외한다)를 위임할 수 있다.② 제1항에 따라 물품의 출납 및 보관에 관한 사무를 위임받은 공무원을 “물품출납공무원”이라 한다.[전문개정 2008. 12. 26.]
Article 54 (Commodity Operating Officers),"(1) A commodity management officer may, where necessary, require public officials of the government office to which he or she belongs to use commodities according to the purpose of the business affairs or projects of the local government or according to their use, or delegate duties relating to maintaining, preserving and operating commodities in use (hereinafter referred to as “duties related to using commodities”) to such public officials, as prescribed by Presidential Decree.(2) A public official delegated with duties related to using commodities under paragraph (1) shall be referred to as a ""commodity operating officer.""[This Article Wholly Amended on Dec. 26, 2008]",제54조(물품운용관),① 물품관리관은 필요한 경우에는 대통령령으로 정하는 바에 따라 그가 소속한 관서의 공무원에게 지방자치단체의 사무 또는 사업의 목적과 용도에 따라 물품을 사용하게 하거나 사용 중인 물품의 유지ㆍ보존 및 운용에 관한 사무(이하 “물품의 사용에 관한 사무”라 한다)를 위임할 수 있다.② 제1항에 따라 물품의 사용에 관한 사무를 위임받은 공무원을 “물품운용관”이라 한다.[전문개정 2008. 12. 26.]
"Article 55 (Taking Partial Charge of Duties of, and Acting for, Management Agencies)","(1) The head of a local government may have a public official to take partial charge of the duties of commodity management; a commodity management officer may have a public official to take partial charge of the duties of a commodity accounting official, as prescribed by Presidential Decree.(2) Where a commodity management officer is not able to perform his or her duties for any unavoidable reasons, the head of a local government may designate a public official to act on his or her behalf; where a commodity accounting official or a commodity operating officer is not able to perform his or her duties for any unavoidable reasons, a commodity management officer may designate a public official to act on his or her behalf, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제55조(관리기관의 분임 및 대리),"① 지방자치단체의 장은 물품관리의 사무의 일부를 분장하는 공무원을, 물품관리관은 물품출납공무원의 사무의 일부를 분장하는 공무원을 대통령령으로 정하는 바에 따라 각각 둘 수 있다.② 지방자치단체의 장은 물품관리관이 부득이한 사유로 직무를 수행할 수 없을 때에는 그 사무를 대리하는 공무원을, 물품관리관은 물품출납공무원 또는 물품운용관이 부득이한 사유로 직무를 수행할 수 없을 때에는 그 사무를 대리하는 공무원을 대통령령으로 정하는 바에 따라 각각 지정할 수 있다.[전문개정 2008. 12. 26.]"
Article 56 (Sharing of Information on Management of Commodities),"In order to efficiently and appropriately manage commodities of local governments, the Minister of the Interior and Safety may cooperate with the Administrator of the Public Procurement Service by sharing information on commodity management standards, etc. <Amended on Mar. 23, 2013; Nov. 19, 2014; Jul. 26, 2017>[This Article Wholly Amended on Dec. 26, 2008]",제56조(물품관리에 관한 정보공유 등),"행정안전부장관은 지방자치단체의 물품을 효율적이고 적정하게 관리하기 위하여 물품관리기준 등에 관한 정보 등을 조달청장과 공유하는 등 상호 협조할 수 있다. <개정 2013. 3. 23., 2014. 11. 19., 2017. 7. 26.>[전문개정 2008. 12. 26.]"
CHAPTER VII MANAGEMENT OF COMMODITIES,,제7장 물품의 관리,
SECTION 1 Common Provisions,,제1절 통칙,
Article 57 (Plans for Controlling Supply and Demand of Commodities),"(1) The head of a local government shall formulate a plan for the supply-demand control of commodities regarding the acquisition, use, and disposal of commodities for each fiscal year, in accordance with the budget and administrative affairs, or scheduled projects under his or her jurisdiction, as prescribed by Presidential Decree: Provided, That the foregoing shall not apply to commodities prescribed by the Presidential Decree.(2) Where any cause arises requiring an amendment of the plan for the supply-demand control of commodities referred to in paragraph (1), the head of the local government may amend the plan.(3) The head of a local government shall acquire, use, or dispose of commodities according to the plan for the supply-demand control of commodities referred to in paragraph (1) (where the plan is amended pursuant to paragraph (2), referring to the amended plan for the supply-demand control of commodities).[This Article Wholly Amended on Dec. 26, 2008]",제57조(물품의 수급관리계획),"① 지방자치단체의 장은 대통령령으로 정하는 바에 따라 회계연도마다 소관 예산과 사무 또는 사업의 예정에 맞추어 물품의 취득ㆍ사용 및 처분에 관한 수급관리계획을 세워야 한다. 다만, 대통령령으로 정하는 물품의 경우에는 그러하지 아니하다.② 지방자치단체의 장은 제1항에 따른 수급관리계획을 변경할 필요가 있는 사유가 발생하였을 때에는 변경할 수 있다.③ 지방자치단체의 장은 제1항에 따른 수급관리계획(제2항에 따라 변경된 경우에는 그 변경된 수급관리계획을 말한다)에 따라 물품을 취득ㆍ사용 또는 처분하여야 한다.[전문개정 2008. 12. 26.]"
Article 58 (Establishment of Commodity Management Standards),"The head of a local government shall determine the fixed number of major commodities and the standards for using them, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제58조(물품관리기준의 설정),지방자치단체의 장은 대통령령으로 정하는 바에 따라 주요 물품의 정수(定數)와 사용기준을 정하여야 한다.[전문개정 2008. 12. 26.]
Article 59 (Inventory Control),"The head of a local government shall establish and administer inventory control standards to ensure appropriate inventory levels of commodities frequently used or to be kept in stock.[This Article Wholly Amended on Dec. 26, 2008]",제59조(재고관리),지방자치단체의 장은 사용 빈도가 높거나 재고를 유지할 필요가 있는 물품에 대하여는 그 물품의 재고를 적정하게 유지할 수 있도록 재고관리기준을 정하여 관리하여야 한다.[전문개정 2008. 12. 26.]
Article 60 (Inventory Investigation),"(1) The head of a local government shall conduct a regular inventory investigation of the commodities under his or her jurisdiction every two years as prescribed by Presidential Decree; where it is deemed necessary, he or she may conduct an occasional inventory investigation in addition to the regular inventory investigation.(2) Where any loss or damage of commodities is found as a result of an inventory investigation referred to in paragraph (1), a report on the results of taking measures therefor shall be reported to the Board of Audit and Inspection without delay.[This Article Wholly Amended on Dec. 26, 2008]",제60조(재물조사 등),"① 지방자치단체의 장은 대통령령으로 정하는 바에 따라 2년마다 정기적으로 그 관리에 속하는 물품에 대한 재물조사를 실시하여야 하며, 필요하다고 인정하는 경우에는 정기재물조사 외에 수시로 재물조사를 할 수 있다.② 제1항에 따른 재물조사 결과 물품이 훼손되거나 없어졌을 때에는 그에 대한 처리 결과를 지체 없이 감사원에 보고하여야 한다.[전문개정 2008. 12. 26.]"
Article 61 (Inventory Adjustment),"Where any increase or decrease of the stock of commodities is found as a result of an inventory investigation prescribed in Article 60, if it is obvious that the change was due to clerical mistakes, the head of a local government may make an inventory adjustment as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제61조(재물조정),지방자치단체의 장은 제60조에 따른 재물조사 결과 물품의 증감(增減)이 발견되더라도 그 원인이 사무상 착오라는 것이 명백한 경우에는 대통령령으로 정하는 바에 따라 이를 조정할 수 있다.[전문개정 2008. 12. 26.]
Article 62 (Preparation of Reports on Actual Status of Commodities),"The head of a local government shall prepare a report on the increase or decrease of major commodities between the immediately preceding fiscal year and the relevant fiscal year and a report on the current value of major commodities as of December 31 of each year, as prescribed by Presidential Decree, and submit it to the relevant local council.[This Article Wholly Amended on Dec. 26, 2008]",제62조(물품의 현황 작성 등),지방자치단체의 장은 대통령령으로 정하는 바에 따라 주요 물품에 대하여 전년도 및 해당 회계연도 간 증감보고서와 매년 12월 31일을 기준으로 한 현재액보고서를 작성하여 해당 지방의회에 보고하여야 한다.[전문개정 2008. 12. 26.]
Article 63 (Transfer of Management of Commodities),"Where it is necessary to efficiently use or dispose of commodities, a commodity management officer may transfer the commodities under his or her management to the management of another commodity management officer in the same local government, as prescribed by Presidential Decree.[This Article Wholly Amended on Feb. 4, 2010]",제63조(물품 소관의 전환),물품관리관은 물품의 효율적 사용과 처분을 위하여 필요한 경우에는 대통령령으로 정하는 바에 따라 소관 물품을 같은 지방자치단체의 다른 물품관리관의 소관으로 전환할 수 있다.[전문개정 2010. 2. 4.]
Article 64 (Maintenance of Commodities),"The head of a local government shall select commodities to be subject to maintenance, and manage them according to the maintenance standards, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제64조(물품의 정비),지방자치단체의 장은 대통령령으로 정하는 바에 따라 주요 정비대상 물품을 선정하여 정비기준에 따라 정비하여야 한다.[전문개정 2008. 12. 26.]
Article 65 (Standard Form),"A commodity management officer, a commodity operating officer and a commodity accounting official (including any public official who takes partial charge of his or her duties under Article 55 (1); hereinafter the same shall apply) shall keep and maintain records of necessary matters using the standard form prescribed by Presidential Decree (including any entry and output data form necessary for computer processing; hereinafter the same shall apply).[This Article Wholly Amended on Dec. 26, 2008]",제65조(표준서식),"물품관리관, 물품운용관 및 물품출납공무원(제55조제1항에 따라 그 사무의 일부를 분장하는 공무원을 포함한다. 이하 같다)은 대통령령으로 정하는 표준서식(전산처리에 필요한 입출력 자료서식을 포함한다. 이하 같다)에 필요한 사항을 기록ㆍ유지하여야 한다.[전문개정 2008. 12. 26.]"
Article 66 (Computerization of Commodity Management),"The head of a local government shall computerize the duties of commodity management in order to efficiently manage commodities, as prescribed by Presidential Decree.[This Article Wholly Amended on Dec. 26, 2008]",제66조(물품관리사무의 전산화),지방자치단체의 장은 대통령령으로 정하는 바에 따라 물품의 관리에 관한 사무를 전산화하여 물품을 효율적으로 관리하여야 한다.[전문개정 2008. 12. 26.]
Article 67 (Restrictions on Conduct of Public Officials Engaged in Commodity Management),"(1) No public official engaged in duties of commodity management may acquire commodities that he or she manages from a local government: Provided, That the foregoing shall not apply to commodities prescribed by Presidential Decree.(2) No conduct that constitutes a violation of paragraph (1) shall be effective.[This Article Wholly Amended on Dec. 26, 2008]",제67조(물품관리종사공무원의 행위 제한),"① 물품관리에 관한 사무에 종사하는 공무원은 그 취급하는 물품을 지방자치단체로부터 양수할 수 없다. 다만, 대통령령으로 정하는 물품의 경우에는 그러하지 아니한다.② 제1항을 위반한 행위는 무효로 한다.[전문개정 2008. 12. 26.]"
SECTION 2 Acquisition,,제2절 취득,
Article 68 (Acquisition),"(1) A commodity management officer shall request a public official in charge of contracts to take necessary measures for acquiring commodities covered by a plan for the supply-demand control of commodities referred to in Article 57 within the limit of such plan, and for acquiring other commodities as needed.(2) A public official in charge of contracts shall, upon receipt of a request referred to in paragraph (1), take necessary measures to acquire the relevant commodities within the budget, as prescribed by Presidential Decree.(3) No commodity shall be acquired without a tally process by a public official or technician who is designated by the head of a local government or by a public official to whom the relevant authority is delegated by such head.[This Article Wholly Amended on Dec. 26, 2008]",제68조(취득),"① 물품관리관은 제57조에 따른 수급관리계획에 정하여진 물품에 대하여는 그 계획의 범위에서, 그 밖의 물품에 대하여는 필요할 때마다 계약담당공무원에게 물품의 취득에 관한 필요한 조치를 할 것을 청구하여야 한다.② 계약담당공무원은 제1항에 따른 청구가 있을 때에는 예산의 범위에서 대통령령으로 정하는 바에 따라 해당 물품을 취득하기 위하여 필요한 조치를 하여야 한다.③ 물품은 지방자치단체의 장 또는 그 위임을 받은 공무원이 지명하는 관계 공무원이나 기술자의 검수(檢受)를 받지 아니하고는 취득할 수 없다.[전문개정 2008. 12. 26.]"
SECTION 3 Custody,,제3절 보관,
Article 69 (Principles of Custody),"Commodities shall be kept in the custody of facilities of the relevant local government with the due care of a good manager, so that they may be used or disposed of at any time: Provided, That the foregoing shall not apply when a commodity management officer deems it inappropriate to hold them in the custody of such facilities of the relevant local government in view of the use or disposal of such commodities or when any compelling reason otherwise exists.[This Article Wholly Amended on Dec. 26, 2008]",제69조(보관의 원칙),"물품은 언제든지 사용하거나 처분할 수 있도록 선량한 관리자의 주의로써 해당 지방자치단체의 시설에 보관하여야 한다. 다만, 물품관리관이 그 지방자치단체의 시설에 보관하는 것이 물품의 사용 또는 처분에 부적당하다고 인정하거나 그 밖에 특별한 사유가 있다고 인정하는 경우에는 그러하지 아니하다.[전문개정 2008. 12. 26.]"
